score_type,low,mid,high
rouge1-R,0.404541,0.419193,0.435173
rouge1-P,0.576417,0.592636,0.608176
rouge1-F,0.437599,0.450685,0.464895
rouge2-R,0.281636,0.299997,0.318439
rouge2-P,0.396685,0.415945,0.437972
rouge2-F,0.303028,0.319325,0.337230
rougeL-R,0.354310,0.369375,0.384902
rougeL-P,0.498617,0.515535,0.533265
rougeL-F,0.382089,0.395504,0.409566
