score_type,low,mid,high
rouge1-R,0.433467,0.445290,0.457363
rouge1-P,0.504075,0.516431,0.527726
rouge1-F,0.430025,0.439411,0.448554
rouge2-R,0.231020,0.243552,0.255428
rouge2-P,0.267684,0.279647,0.292254
rouge2-F,0.227821,0.238509,0.248900
rougeL-R,0.337234,0.348475,0.360016
rougeL-P,0.389096,0.399561,0.411108
rougeL-F,0.332278,0.342008,0.351428
