score_type,low,mid,high
rouge1-R,0.158109,0.168733,0.180091
rouge1-P,0.338977,0.356232,0.372980
rouge1-F,0.169680,0.179458,0.188591
rouge2-R,0.063692,0.071381,0.080072
rouge2-P,0.127103,0.140576,0.154490
rouge2-F,0.066254,0.072887,0.080355
rougeL-R,0.127918,0.137678,0.147192
rougeL-P,0.289092,0.304618,0.322234
rougeL-F,0.138300,0.146422,0.154605
