score_type,low,mid,high
rouge1-R,0.353484,0.362451,0.372716
rouge1-P,0.544326,0.557155,0.568550
rouge1-F,0.399055,0.407874,0.417174
rouge2-R,0.180965,0.189828,0.198481
rouge2-P,0.287123,0.299803,0.311370
rouge2-F,0.207211,0.216314,0.224931
rougeL-R,0.282031,0.291765,0.302016
rougeL-P,0.430775,0.442225,0.453358
rougeL-F,0.317785,0.326916,0.335986
