score_type,low,mid,high
rouge1-R,0.283525,0.293841,0.304051
rouge1-P,0.257124,0.268355,0.279915
rouge1-F,0.231958,0.239474,0.247636
rouge2-R,0.095122,0.104722,0.115546
rouge2-P,0.093269,0.104678,0.115644
rouge2-F,0.079763,0.088098,0.096761
rougeL-R,0.201270,0.210100,0.220076
rougeL-P,0.183886,0.194180,0.204534
rougeL-F,0.164165,0.171231,0.178964
