score_type,low,mid,high
rouge1-R,0.150692,0.154873,0.159102
rouge1-P,0.154283,0.159990,0.165481
rouge1-F,0.136028,0.139398,0.142567
rouge2-R,0.010962,0.012004,0.013167
rouge2-P,0.010595,0.011624,0.012680
rouge2-F,0.009607,0.010460,0.011383
rougeL-R,0.118365,0.121874,0.125179
rougeL-P,0.117994,0.121920,0.125740
rougeL-F,0.105287,0.107739,0.109994
