score_type,low,mid,high
rouge1-R,0.123968,0.129657,0.136008
rouge1-P,0.176351,0.183052,0.190333
rouge1-F,0.133537,0.138925,0.144672
rouge2-R,0.013672,0.017743,0.022931
rouge2-P,0.018419,0.022649,0.027726
rouge2-F,0.014463,0.018516,0.023684
rougeL-R,0.092250,0.097238,0.102033
rougeL-P,0.128032,0.134275,0.139861
rougeL-F,0.098243,0.103162,0.107539
